leaid,year,lea_name,phone,urban_centric_locale,number_of_schools,enrollment,teachers_total_fte,,rev_total,rev_fed_total,rev_state_total,rev_local_total,exp_total,exp_current_instruction_total,outlay_capital_total,payments_charter_schools,salaries_instruction,benefits_employee_total,debt_interest,debt_longterm_outstand_end_fy,debt_shortterm_outstand_end_fy,fiscal year,name of school district,secured_net taxable value,unsecured_net taxable value
601620,2008,ABC UNIFIED,5629265566,13,30,20789,908.7000122070312,,203445000,21390000,152993000,29062000,201149000,110676000,5860000,0,80123000,37953000,1539000,65660000,0,2008,ABC Unified,10596206732,526703887
601650,2008,ACALANES UNION HIGH,9252803900,21,6,5714,289.3999938964844,,95947000,2816000,38479000,54652000,89825000,32696000,1677000,0,23360000,12342000,3239000,129350000,0,2008,Acalanes Union High,21893106450,456868163
601710,2008,ADELANTO ELEMENTARY,7602468691,41,12,8249,356.5,,93789000,9026000,71522000,13241000,72016000,37927000,5343000,0,26762000,12765000,2097000,36843000,0,2008,Adelanto Elementary,4521805644,308174301
601770,2008,ALAMEDA CITY UNIFIED,5103377060,21,20,10271,513.9000244140625,,108023000,10556000,54721000,42746000,101747000,59091000,7469000,0,41404000,14165000,1485000,90534000,0,2008,Alameda City Unified,8144085166,473127743
601860,2008,ALBANY CITY UNIFIED,5105583750,21,6,3838,187.1999969482422,,58973000,7609000,34406000,16958000,58626000,23456000,3009000,0,15904000,8472000,1657000,34008000,0,2008,Albany City Unified,1696686871,29616932
601980,2008,ALLENSWORTH ELEMENTARY,6618492401,42,1,86,5,,1333000,201000,1055000,77000,1324000,593000,0,0,356000,351000,0,0,0,2008,Allensworth Elementary,11112190,14984
602100,2008,ALPINE UNION ELEMENTARY,6194453236,21,7,2048,100.9000015258789,,21334000,1779000,10060000,9495000,18963000,11909000,359000,0,8367000,3755000,261000,9910000,0,2008,Alpine Union Elementary,2209413473,32684826
602160,2008,ALTA LOMA ELEMENTARY,9094845151,21,10,6557,267.5,,57566000,4685000,37796000,15085000,51348000,32928000,482000,0,23181000,11021000,365000,24740000,0,2008,Alta Loma Elementary,5278577482,66105748
602220,2008,ALTA VISTA ELEMENTARY,5597825700,23,2,502,25.5,,5157000,1086000,3518000,553000,4781000,2961000,76000,0,1768000,1095000,5000,0,0,2008,Alta Vista Elementary,,
602310,2008,ALUM ROCK UNION ELEMENTARY,4089286800,11,28,13816,731.5999755859375,,138085000,20594000,75219000,42272000,141824000,82655000,11389000,0,54195000,24117000,2623000,40728000,0,2008,Alum Rock Union Elementary,6874185595,108906486
602430,2008,ALVORD UNIFIED,9515095070,11,22,20057,868.7999877929688,,187227000,23760000,120376000,43091000,236259000,112537000,58777000,0,79269000,33980000,4719000,161766000,0,2008,Alvord Unified,6648183429,212126746
602450,2008,AMADOR COUNTY UNIFIED,2092231750,32,12,4390,187.1000061035156,,37768000,2864000,7880000,27024000,34477000,17514000,1361000,0,12890000,5827000,508000,10570000,0,2008,Amador County Unified,4280550508,131351315
602630,2008,ANAHEIM UNION HIGH,7149993511,11,22,33719,1346,,357077000,57704000,224722000,74651000,364845000,187960000,23081000,0,133235000,66735000,6836000,163825000,0,2008,Anaheim Union High,30566681208,1566668146
602670,2008,WEST SONOMA COUNTY UNION HIGH,7078246403,21,6,2398,118.8000030517578,,25401000,2151000,10177000,13073000,24564000,14814000,652000,0,9387000,5782000,425000,10455000,0,2008,West Sonoma County Union High,6577881748,133261934
602820,2008,ANTELOPE VALLEY UNION HIGH,6619487655,21,14,26159,1082.5,,228618000,23199000,154753000,50666000,241451000,121597000,32398000,0,85140000,45615000,4182000,97397000,0,2008,Antelope Valley Union High,2045779,217596
602970,2008,ARCADIA UNIFIED,6268218300,13,11,9813,416.5,,105322000,7240000,42526000,55556000,103631000,50916000,16861000,0,38877000,13408000,6033000,196514000,0,2008,Arcadia Unified,8731272882,145710893
603000,2008,ARCATA ELEMENTARY,7078220351,33,5,922,52.400001525878906,,9056000,1027000,5381000,2648000,8467000,5161000,172000,0,3511000,1846000,169000,4543000,0,2008,Arcata Elementary,710314656,28581861
603090,2008,ARENA UNION ELEMENTARY,7078822803,43,2,300,23.100000381469727,,10161000,839000,8432000,890000,9667000,5724000,633000,0,4013000,1883000,109000,2030000,13000,2008,Arena Union Elementary,610583789,11771751
603180,2008,ARMONA UNION ELEMENTARY,5595835000,31,5,1781,89.19999694824219,,15960000,2036000,11633000,2291000,14915000,6759000,124000,0,4436000,2334000,114000,2530000,0,2008,Armona Union Elementary,445533261,17209219
603270,2008,ARVIN UNION ELEMENTARY,6618546500,31,4,3362,157.5,,34426000,5792000,22628000,6006000,31916000,17595000,826000,0,11594000,7019000,464000,13863000,0,2008,Arvin Union Elementary,1138916246,13792914
603300,2008,ATASCADERO UNIFIED,8054624200,23,12,4945,250.8999938964844,,46915000,4242000,16034000,26639000,43522000,23003000,2172000,0,17887000,7099000,467000,9055000,0,2008,Atascadero Unified,3972916136,73399340
603420,2008,ATWATER ELEMENTARY,2093576100,22,9,4612,214.1000061035156,,42095000,6946000,30623000,4526000,38964000,23911000,581000,0,18543000,6001000,526000,9547000,0,2008,Atwater Elementary,1873422399,128978954
603600,2008,AZUSA UNIFIED,6269676211,21,18,11209,540.0999755859375,,109653000,13673000,82912000,13068000,107409000,60663000,652000,0,43338000,16791000,3606000,93937000,0,2008,Azusa Unified,3373920411,116605371
603610,2008,BAKER VALLEY UNIFIED,7607334567,43,3,203,14,,3313000,328000,1987000,998000,3280000,1470000,37000,0,823000,860000,44000,680000,0,2008,Baker Valley Unified,139909296,16199050
603690,2008,BALDWIN PARK UNIFIED,6269623311,21,23,20015,932.4000244140624,,179833000,22134000,131359000,26340000,182504000,93784000,8651000,0,63152000,32761000,2685000,106954000,0,2008,Baldwin Park Unified,3614860939,168399873
603840,2008,BANNING UNIFIED,9519220200,21,9,4832,250.6000061035156,,62468000,7927000,39135000,15406000,57744000,25615000,10882000,0,17169000,9409000,1683000,49469000,0,2008,Banning Unified,2387402092,372915118
603870,2008,BANTA ELEMENTARY,2098350171,41,1,297,15,,3066000,274000,1716000,1076000,3514000,1451000,798000,0,1042000,561000,38000,750000,0,2008,Banta Elementary,335626378,22383349
604020,2008,BARSTOW UNIFIED,7602556000,32,13,6774,324.5,,61331000,8149000,43010000,10172000,55459000,31335000,787000,0,22492000,8850000,509000,12921000,0,2008,Barstow Unified,1728423065,125509576
604110,2008,BASSETT UNIFIED,6269313000,21,8,5033,222.1000061035156,,71031000,9424000,53426000,8181000,69668000,26175000,12563000,0,18572000,9245000,1657000,42432000,0,2008,Bassett Unified,1488516077,116961529
604230,2008,BEAR VALLEY UNIFIED,9098664631,32,7,3091,144.8000030517578,,33513000,3395000,14045000,16073000,32075000,15303000,6326000,0,11133000,4741000,1009000,12318000,0,2008,Bear Valley Unified,5344954904,55584381
604260,2008,BEARDSLEY ELEMENTARY,6613920878,21,4,1739,84.19999694824219,,17641000,2639000,9334000,5668000,18053000,8403000,2088000,0,5655000,3225000,615000,16230000,0,2008,Beardsley Elementary,1256745171,203729291
604290,2008,BEAUMONT UNIFIED,9518451631,41,12,8105,359.29998779296875,,74361000,7744000,39891000,26726000,66647000,35894000,2437000,0,25495000,12951000,837000,20241000,0,2008,Beaumont Unified,4321043605,79610863
604380,2008,BELLEVUE UNION ELEMENTARY,7075425197,21,4,1760,99.90000153,,17823000,2958000,6799000,8066000,18039000,11537000,989000,0,6587000,2562000,244000,13005000,0,2008,Bellevue Union Elementary,2548137300,130318440
604620,2008,BENICIA UNIFIED,7077478300,22,8,4959,240.6000061035156,,46546000,3214000,24263000,19069000,43685000,25840000,2969000,0,19233000,6940000,1581000,56691000,0,2008,Benicia Unified,4585799269,220145017
604650,2008,BENNETT VALLEY UNION ELEMENTARY,7075422201,12,2,936,44.79999923706055,,7568000,546000,2825000,4197000,7077000,5084000,7000,0,3452000,1269000,54000,894000,0,2008,Bennett Valley Union Elementary,1471574162,18744398
604740,2008,BERKELEY UNIFIED,5106446206,12,16,8988,524.7000122070312,,147210000,10274000,54485000,82451000,151572000,68664000,14778000,0,44659000,24177000,9726000,207828000,0,2008,Berkeley Unified,11042215054,606795820
604800,2008,BERRYESSA UNION ELEMENTARY,4089231800,11,14,8342,392.5,,72971000,6824000,30002000,36145000,76740000,43882000,8967000,0,30018000,16095000,1699000,43668000,0,2008,Berryessa Union Elementary,8099150923,166428710
604830,2008,BEVERLY HILLS UNIFIED,3105515100,21,6,5125,274.6000061035156,,77892000,4017000,13284000,60591000,71388000,37504000,7517000,0,25877000,9764000,3795000,132998000,0,2008,Beverly Hills Unified,17613714539,543352271
604860,2008,BIG CREEK ELEMENTARY,5598933314,43,1,32,3.400000095367432,,1271000,178000,259000,834000,1583000,377000,620000,0,272000,154000,34000,1356000,0,2008,Big Creek Elementary,241578341,62341531
604950,2008,BIG PINE UNIFIED,7609382005,43,3,195,20.5,,3703000,553000,1053000,2097000,3978000,1639000,1036000,0,1050000,608000,62000,2383000,0,2008,Big Pine Unified,376311638,1914927
605130,2008,BISHOP UNION ELEMENTARY,7608721060,33,5,1251,64.19999694824219,,11457000,1760000,3183000,6514000,11578000,6784000,358000,0,4509000,2581000,116000,4967000,0,2008,Bishop Union Elementary,1536282392,39760955
605160,2008,BISHOP JOINT UNION HIGH,7608723680,33,3,699,29.39999961853028,,7984000,1096000,2550000,4338000,6994000,3618000,233000,0,2499000,1568000,225000,3515000,0,2008,Bishop Joint Union High,1776201425,40655183
605190,2008,BITTERWATER-TULLY UNION ELEMENTARY,8313855339,33,1,29,2,,366000,38000,261000,67000,362000,257000,0,0,161000,61000,0,0,0,2008,Bitterwater-Tully Union Elementary,37556552,1899533
605240,2008,BLACK OAK MINE UNIFIED,5303338300,42,7,1745,85.09999847,,17729000,2679000,6881000,8169000,22053000,8344000,5889000,0,5777000,3291000,482000,12052000,0,2008,Black Oak Mine Unified,1478737214,
605610,2008,BONITA UNIFIED,9099718200,21,14,9967,432,,98473000,7834000,71326000,19313000,105232000,52086000,18930000,0,34489000,13618000,2677000,60244000,0,2008,Bonita Unified,6511143236,291784980
605640,2008,BONNY DOON UNION ELEMENTARY,8314272300,41,1,125,8,,1872000,83000,252000,1537000,1732000,924000,0,0,576000,251000,37000,755000,0,2008,Bonny Doon Union Elementary,452787686,9917381
605670,2008,BONSALL UNION ELEMENTARY,7606315200,41,4,1881,98.90000153,,17517000,2053000,7710000,7754000,16933000,9687000,459000,0,7008000,3111000,518000,18919000,0,2008,Bonsall Union Elementary,2882634678,19851833
605790,2008,BRAWLEY ELEMENTARY,7603442330,31,5,3680,176,,33802000,5592000,23548000,4662000,31337000,19544000,90000,0,14538000,5530000,225000,3935000,0,2008,Brawley Elementary,1096008551,86358209
605820,2008,BRAWLEY UNION HIGH,7603125819,31,3,1952,76.40000153,,21543000,2308000,13698000,5537000,18914000,9364000,970000,0,7117000,2919000,412000,8795000,0,2008,Brawley Union High,1406457163,110975000
605880,2008,BREA-OLINDA UNIFIED,7149907800,21,9,5944,240.6000061035156,,54007000,4263000,21515000,28229000,51533000,28557000,792000,0,21103000,8660000,913000,56302000,0,2008,Brea-Olinda Unified,5835599470,542143794
606030,2008,BRIGGS ELEMENTARY,8055257540,41,2,449,21,,4467000,517000,2705000,1245000,4224000,2106000,187000,0,1526000,613000,107000,2248000,0,2008,Briggs Elementary,339392336,11177848
606060,2008,BRISBANE ELEMENTARY,4154670550,21,3,590,36.09999847412109,,6531000,254000,834000,5443000,7207000,4246000,243000,0,2909000,1263000,365000,10636000,0,2008,Brisbane Elementary,1748056875,217236950
606270,2008,BUCKEYE UNION ELEMENTARY,5306772261,41,9,5100,246.3000030517578,,44047000,2565000,22457000,19025000,55784000,23886000,16907000,0,16845000,7884000,2911000,48010000,0,2008,Buckeye Union Elementary,5815329789,
606330,2008,BUELLTON UNION ELEMENTARY,8056862767,32,2,693,33.900001525878906,,9182000,831000,3564000,4787000,8666000,4762000,755000,0,3517000,1367000,354000,9286000,0,2008,Buellton Union Elementary,911272928,36665818
606360,2008,BUENA PARK ELEMENTARY,7145228412,21,7,5574,245.3999938964844,,52300000,6944000,30127000,15229000,55116000,32237000,4171000,0,22755000,10160000,403000,13439000,0,2008,Buena Park Elementary,4769725000,360454137
606390,2008,PANAMA-BUENA VISTA UNION,6618318331,11,23,16385,820.4000244140625,,153099000,14211000,114861000,24027000,169139000,86345000,18770000,0,59336000,30385000,1778000,3040000,0,2008,Panama Buena Vista Union,7198481394,231320028
606420,2008,BUENA VISTA ELEMENTARY,5596862015,42,1,193,10,,1708000,221000,1217000,270000,1608000,956000,80000,0,652000,347000,12000,190000,0,2008,Buena Vista Elementary,55436238,3917756
606450,2008,BURBANK UNIFIED,8187294400,12,21,16593,795.0999755859375,,161656000,14073000,99135000,48448000,158534000,94618000,12095000,0,64478000,28949000,1464000,107816000,0,2008,Burbank Unified,14514090733,2274667500
606480,2008,BURLINGAME ELEMENTARY,6502593800,21,6,2529,133.8000030517578,,31050000,1635000,8685000,20730000,27299000,13633000,4496000,0,9154000,3487000,745000,33770000,0,2008,Burlingame Elementary,6435871757,291681230
606570,2008,BURTON ELEMENTARY,5597818020,13,7,3656,177.10000610351562,,32156000,3941000,23772000,4443000,30902000,18579000,2419000,0,13043000,5852000,201000,6252000,0,2008,Burton Elementary,698320533,5207366
606720,2008,BUTTONWILLOW UNION ELEMENTARY,6617645166,42,1,386,23,,4833000,488000,1573000,2772000,5442000,2020000,1409000,0,1443000,750000,193000,5860000,0,2008,Buttonwillow Union Elementary,4261121179,32151118
606750,2008,BYRON UNION ELEMENTARY,9256346644,41,3,1671,82,,14215000,1043000,6835000,6337000,15863000,8578000,2224000,0,5562000,2500000,610000,14257000,0,2008,Byron Union Elementary,2097327814,135773144
606780,2008,CABRILLO UNIFIED,6507127100,31,7,3393,156.39999389648438,,32122000,2788000,4845000,24489000,35854000,16848000,5955000,0,11498000,6865000,208000,18676000,0,2008,Cabrillo Unified,4539761825,81221351
606810,2008,CAJON VALLEY UNION ELEMENTARY,6195883005,21,31,16092,780.2000122070312,,165973000,20338000,86079000,59556000,159916000,95181000,9995000,0,66526000,29177000,4639000,119505000,0,2008,Cajon Valley Union Elementary,12898507534,468608636
606870,2008,CALAVERAS UNIFIED,2097542300,42,13,3563,174.8000030517578,,39370000,2712000,11980000,24678000,31297000,18184000,5000,0,12787000,6768000,1503000,40294000,0,2008,Calaveras Unified,2713526514,54747508
606900,2008,CALEXICO UNIFIED,7607683888,31,14,9255,417.2999877929688,,88794000,13374000,61914000,13506000,88770000,46846000,6838000,0,32753000,17442000,1241000,40658000,0,2008,Calexico Unified,1686922921,67912718
606990,2008,CALIPATRIA UNIFIED,7603482892,32,4,1190,61.20000076293945,,15078000,1817000,6685000,6576000,13879000,5778000,2042000,0,4093000,1916000,574000,18329000,0,2008,Calipatria Unified,894492518,17395270
607020,2008,CALISTOGA JOINT UNIFIED,7079424703,31,3,868,49.70000076293945,,12450000,771000,1759000,9920000,11901000,7057000,330000,0,5122000,1648000,154000,2382000,0,2008,Calistoga Joint Unified,1454366074,35659306
607200,2008,CAMPBELL UNION ELEMENTARY,4083644200,21,13,7269,371,,81951000,5972000,20476000,55503000,76716000,43290000,4919000,0,30478000,11939000,4833000,101400000,0,2008,Campbell Union Elementary,12841431318,726603179
607230,2008,CAMPBELL UNION HIGH,4083710960,11,7,7746,341.8999938964844,,94703000,4074000,12802000,77827000,99673000,43203000,20726000,0,28853000,14264000,6160000,139915000,0,2008,Campbell Union High,28622004833,1057165403
607440,2008,CAPISTRANO UNIFIED,9492349200,21,61,52681,2261.600098,,455566000,43032000,126215000,286319000,433476000,273269000,11681000,0,201581000,83084000,2331000,79760000,0,2008,Capistrano Unified,42101217919,1253825322
607470,2008,CARDIFF ELEMENTARY,7606325890,21,2,739,43.400001525878906,,8861000,366000,1230000,7265000,8221000,4999000,0,0,3815000,1306000,327000,9275000,0,2008,Cardiff Elementary,1880115892,21695359
607500,2008,CARLSBAD UNIFIED,7603315000,13,15,10695,474.7999877929688,,106455000,5201000,14047000,87207000,119590000,54738000,25676000,0,38127000,17772000,5377000,185963000,0,2008,Carlsbad Unified,14980311400,764076024
607530,2008,CARMEL UNIFIED,8316241546,22,6,2149,140,,50449000,1100000,4041000,45308000,46976000,21552000,5192000,0,14125000,8722000,1523000,39945000,0,2008,Carmel Unified,11984289485,109366960
607560,2008,CARPINTERIA UNIFIED,8056844511,22,8,2463,126.5,,26354000,2524000,4965000,18865000,26084000,13349000,1468000,0,9303000,5413000,770000,14570000,0,2008,Carpinteria Unified,4166320233,119160566
607710,2008,CASMALIA ELEMENTARY,8059376515,41,-2,-2,-2,,0,0,0,0,184000,0,0,0,0,0,0,0,0,2008,Casmalia Elementary,3964438,83209
607800,2008,CASTRO VALLEY UNIFIED,5105373000,21,15,8909,421.8999938964844,,116337000,18067000,72920000,25350000,122069000,45843000,8103000,0,33280000,13598000,4151000,88900000,0,2008,Castro Valley Unified,5927760797,57968415
607840,2008,CAYUCOS ELEMENTARY,8059953694,31,1,187,12.800000190734863,,3133000,65000,324000,2744000,7705000,1437000,5303000,0,1013000,369000,199000,7709000,0,2008,Cayucos Elementary,861667531,5368658
607900,2008,CENTER JOINT UNIFIED,9163386330,21,9,5334,260.6000061035156,,50249000,4605000,33805000,11839000,54923000,27952000,9341000,0,20169000,8353000,786000,61057000,0,2008,Center Joint Unified,315014854,370860
607920,2008,CENTINELA VALLEY UNION HIGH,3102633200,21,6,7333,318.29998779296875,,88467000,11158000,56519000,20790000,87184000,34148000,6741000,0,23577000,12428000,2657000,74220000,0,2008,Centinela Valley Union High,11848608348,1323148060
607950,2008,CENTRAL ELEMENTARY,9099898541,21,7,4812,201.1999969482422,,41839000,4062000,28734000,9043000,37299000,22591000,145000,0,16066000,7240000,634000,10721000,0,2008,Central Elementary,3011915502,123783697
607970,2008,CENTRAL UNIFIED,5592744700,11,19,14266,642.7999877929688,,131276000,14129000,87943000,29204000,122241000,61884000,7057000,0,44394000,22702000,4037000,120762000,0,2008,Central Unified,4182541420,66730959
608010,2008,CENTRAL UNION HIGH,7603364500,13,3,4169,185.3999938964844,,43965000,4664000,28499000,10802000,38937000,18490000,2166000,0,13971000,6144000,797000,16515000,0,2008,Central Union High,3025676680,280786644
608070,2008,CENTRALIA ELEMENTARY,7142283100,21,9,4752,204.5,,47858000,5948000,23476000,18434000,45250000,24433000,850000,0,18781000,7546000,647000,15300000,0,2008,Centralia Elementary,3840693901,133330604
608130,2008,CERES UNIFIED,2095561500,21,21,12468,586.4000244140625,,115724000,14521000,75175000,26028000,117898000,63859000,10265000,0,45110000,18288000,1454000,36629000,0,2008,Ceres Unified,3727326099,111929143
608160,2008,CHAFFEY JOINT UNION HIGH,9099888511,21,11,25370,1017.2000122070312,,263418000,25007000,161842000,76569000,232198000,129201000,10695000,0,94805000,43947000,5118000,101360000,0,2008,Chaffey Joint Union High,39648567866,3970618134
608190,2008,CHARTER OAK UNIFIED,6269668331,21,10,6305,267.3999938964844,,66529000,6205000,47527000,12797000,64903000,32829000,7069000,0,22068000,10722000,974000,31676000,0,2008,Charter Oak Unified,2627243658,30823621
608250,2008,CHATOM UNION ELEMENTARY,2096648505,41,2,674,35.20000076293945,,7718000,1035000,3956000,2727000,9132000,4253000,2179000,0,2890000,1385000,107000,0,0,2008,Chatom Union Elementary,517513252,
608340,2008,CHICAGO PARK ELEMENTARY,5303462153,41,1,148,7.900000095367432,,1310000,114000,649000,547000,1224000,711000,33000,0,523000,206000,0,0,0,2008,Chicago Park Elementary,,
608370,2008,CHICO UNIFIED,5308913000,13,26,13468,662.4000244140625,,136730000,14867000,71928000,49935000,115412000,74411000,4890000,0,50902000,27156000,2382000,57510000,0,2008,Chico Unified,8858566360,466398008
608550,2008,CHOWCHILLA UNION HIGH,5596653662,31,2,994,47.5,,30962000,1106000,25171000,4685000,23244000,4278000,13925000,0,3102000,1678000,451000,12278000,0,2008,Chowchilla Union High,1543896841,67738717
608580,2008,CHUALAR UNION ELEMENTARY,8316792504,42,1,364,17,,4135000,662000,2659000,814000,3617000,1676000,148000,0,1029000,724000,108000,3121000,0,2008,Chualar Union Elementary,304213323,24468526
608760,2008,CLAREMONT UNIFIED,9093980609,21,12,6960,315.79998779296875,,72552000,6310000,48417000,17825000,71664000,35904000,1996000,0,26209000,11583000,2422000,50145000,0,2008,Claremont Unified,3862429797,64037895
608880,2008,CLEAR CREEK ELEMENTARY,5302733664,42,1,130,6.5,,1190000,132000,338000,720000,1102000,618000,12000,0,479000,198000,0,0,0,2008,Clear Creek Elementary,,
608970,2008,CLOVERDALE UNIFIED,7078941920,32,5,1496,82.5,,14334000,1531000,5665000,7138000,14416000,9898000,128000,0,5747000,2327000,142000,3350000,0,2008,Cloverdale Unified,1842345698,46476764
609030,2008,CLOVIS UNIFIED,5593279100,21,47,37461,1837.0999755859373,,407762000,30415000,240154000,137193000,393683000,190185000,46837000,0,129313000,80689000,21202000,333706000,0,2008,Clovis Unified,18005851118,513581412
